timestamp,server,metric,value,unit,is_anomaly
2024-01-01 00:00:00,server_A,cpu_usage,79.45,%,否
2024-01-01 00:00:00,server_A,memory_usage,33.47,%,否
2024-01-01 00:00:00,server_A,disk_usage,77.39,%,否
2024-01-01 00:00:00,server_A,network_io,36.91,MB/s,否
2024-01-01 00:00:00,server_A,response_time,24.58,ms,否
2024-01-01 00:00:00,server_B,cpu_usage,40.02,%,否
2024-01-01 00:00:00,server_B,memory_usage,41.63,%,否
2024-01-01 00:00:00,server_B,disk_usage,75.48,%,否
2024-01-01 00:00:00,server_B,network_io,25.09,MB/s,否
2024-01-01 00:00:00,server_B,response_time,22.6,ms,否
2024-01-01 00:00:00,server_C,cpu_usage,29.07,%,否
2024-01-01 00:00:00,server_C,memory_usage,45.72,%,否
2024-01-01 00:00:00,server_C,disk_usage,40.09,%,否
2024-01-01 00:00:00,server_C,network_io,30.88,MB/s,否
2024-01-01 00:00:00,server_C,response_time,45.51,ms,否
2024-01-01 00:00:00,server_D,cpu_usage,73.59,%,否
2024-01-01 00:00:00,server_D,memory_usage,61.23,%,否
2024-01-01 00:00:00,server_D,disk_usage,57.49,%,否
2024-01-01 00:00:00,server_D,network_io,37.22,MB/s,否
2024-01-01 00:00:00,server_D,response_time,72.52,ms,否
2024-01-01 00:00:00,server_E,cpu_usage,36.27,%,否
2024-01-01 00:00:00,server_E,memory_usage,49.96,%,否
2024-01-01 00:00:00,server_E,disk_usage,42.15,%,否
2024-01-01 00:00:00,server_E,network_io,35.92,MB/s,否
2024-01-01 00:00:00,server_E,response_time,74.42,ms,否
2024-01-01 00:00:00,server_F,cpu_usage,67.92,%,否
2024-01-01 00:00:00,server_F,memory_usage,67.33,%,否
2024-01-01 00:00:00,server_F,disk_usage,71.7,%,否
2024-01-01 00:00:00,server_F,network_io,78.68,MB/s,否
2024-01-01 00:00:00,server_F,response_time,66.67,ms,否
2024-01-01 00:00:00,server_G,cpu_usage,28.8,%,否
2024-01-01 00:00:00,server_G,memory_usage,28.87,%,否
2024-01-01 00:00:00,server_G,disk_usage,46.8,%,否
2024-01-01 00:00:00,server_G,network_io,67.81,MB/s,否
2024-01-01 00:00:00,server_G,response_time,78.58,ms,否
2024-01-01 00:00:00,server_H,cpu_usage,68.88,%,否
2024-01-01 00:00:00,server_H,memory_usage,26.79,%,否
2024-01-01 00:00:00,server_H,disk_usage,45.65,%,否
2024-01-01 00:00:00,server_H,network_io,63.6,MB/s,否
2024-01-01 00:00:00,server_H,response_time,28.68,ms,否
2024-01-01 00:00:00,server_I,cpu_usage,39.38,%,否
2024-01-01 00:00:00,server_I,memory_usage,27.65,%,否
2024-01-01 00:00:00,server_I,disk_usage,66.05,%,否
2024-01-01 00:00:00,server_I,network_io,41.16,MB/s,否
2024-01-01 00:00:00,server_I,response_time,49.65,ms,否
2024-01-01 00:00:00,server_J,cpu_usage,48.88,%,否
2024-01-01 00:00:00,server_J,memory_usage,78.37,%,否
2024-01-01 00:00:00,server_J,disk_usage,56.1,%,否
2024-01-01 00:00:00,server_J,network_io,58.2,MB/s,否
2024-01-01 00:00:00,server_J,response_time,28.29,ms,否
2024-01-01 01:00:00,server_A,cpu_usage,76.64,%,否
2024-01-01 01:00:00,server_A,memory_usage,75.3,%,否
2024-01-01 01:00:00,server_A,disk_usage,42.99,%,否
2024-01-01 01:00:00,server_A,network_io,52.96,MB/s,否
2024-01-01 01:00:00,server_A,response_time,52.32,ms,否
2024-01-01 01:00:00,server_B,cpu_usage,49.56,%,否
2024-01-01 01:00:00,server_B,memory_usage,52.17,%,否
2024-01-01 01:00:00,server_B,disk_usage,33.81,%,否
2024-01-01 01:00:00,server_B,network_io,25.02,MB/s,否
2024-01-01 01:00:00,server_B,response_time,62.9,ms,否
2024-01-01 01:00:00,server_C,cpu_usage,51.62,%,否
2024-01-01 01:00:00,server_C,memory_usage,66.6,%,否
2024-01-01 01:00:00,server_C,disk_usage,68.68,%,否
2024-01-01 01:00:00,server_C,network_io,33.16,MB/s,否
2024-01-01 01:00:00,server_C,response_time,25.24,ms,否
2024-01-01 01:00:00,server_D,cpu_usage,41.7,%,否
2024-01-01 01:00:00,server_D,memory_usage,32.2,%,否
2024-01-01 01:00:00,server_D,disk_usage,71.04,%,否
2024-01-01 01:00:00,server_D,network_io,41.74,MB/s,否
2024-01-01 01:00:00,server_D,response_time,48.44,ms,否
2024-01-01 01:00:00,server_E,cpu_usage,28.02,%,否
2024-01-01 01:00:00,server_E,memory_usage,26.61,%,否
2024-01-01 01:00:00,server_E,disk_usage,74.68,%,否
2024-01-01 01:00:00,server_E,network_io,41.65,MB/s,否
2024-01-01 01:00:00,server_E,response_time,70.96,ms,否
2024-01-01 01:00:00,server_F,cpu_usage,66.72,%,否
2024-01-01 01:00:00,server_F,memory_usage,28.36,%,否
2024-01-01 01:00:00,server_F,disk_usage,47.62,%,否
2024-01-01 01:00:00,server_F,network_io,70.12,MB/s,否
2024-01-01 01:00:00,server_F,response_time,53.09,ms,否
2024-01-01 01:00:00,server_G,cpu_usage,75.88,%,否
2024-01-01 01:00:00,server_G,memory_usage,45.26,%,否
2024-01-01 01:00:00,server_G,disk_usage,32.64,%,否
2024-01-01 01:00:00,server_G,network_io,33.48,MB/s,否
2024-01-01 01:00:00,server_G,response_time,64.82,ms,否
2024-01-01 01:00:00,server_H,cpu_usage,27.03,%,否
2024-01-01 01:00:00,server_H,memory_usage,61.75,%,否
2024-01-01 01:00:00,server_H,disk_usage,28.58,%,否
2024-01-01 01:00:00,server_H,network_io,63.98,MB/s,否
2024-01-01 01:00:00,server_H,response_time,61.77,ms,否
2024-01-01 01:00:00,server_I,cpu_usage,45.48,%,否
2024-01-01 01:00:00,server_I,memory_usage,23.25,%,否
2024-01-01 01:00:00,server_I,disk_usage,26.36,%,否
2024-01-01 01:00:00,server_I,network_io,54.9,MB/s,否
2024-01-01 01:00:00,server_I,response_time,48.61,ms,否
2024-01-01 01:00:00,server_J,cpu_usage,55.64,%,否
2024-01-01 01:00:00,server_J,memory_usage,29.49,%,否
2024-01-01 01:00:00,server_J,disk_usage,28.81,%,否
2024-01-01 01:00:00,server_J,network_io,28.48,MB/s,否
2024-01-01 01:00:00,server_J,response_time,34.7,ms,否
2024-01-01 02:00:00,server_A,cpu_usage,20.75,%,否
2024-01-01 02:00:00,server_A,memory_usage,69.86,%,否
2024-01-01 02:00:00,server_A,disk_usage,44.99,%,否
2024-01-01 02:00:00,server_A,network_io,65.93,MB/s,否
2024-01-01 02:00:00,server_A,response_time,48.19,ms,否
2024-01-01 02:00:00,server_B,cpu_usage,28.41,%,否
2024-01-01 02:00:00,server_B,memory_usage,51.65,%,否
2024-01-01 02:00:00,server_B,disk_usage,76.93,%,否
2024-01-01 02:00:00,server_B,network_io,48.21,MB/s,否
2024-01-01 02:00:00,server_B,response_time,63.35,ms,否
2024-01-01 02:00:00,server_C,cpu_usage,46.64,%,否
2024-01-01 02:00:00,server_C,memory_usage,58.69,%,否
2024-01-01 02:00:00,server_C,disk_usage,20.79,%,否
2024-01-01 02:00:00,server_C,network_io,26.68,MB/s,否
2024-01-01 02:00:00,server_C,response_time,23.6,ms,否
2024-01-01 02:00:00,server_D,cpu_usage,58.55,%,否
2024-01-01 02:00:00,server_D,memory_usage,56.25,%,否
2024-01-01 02:00:00,server_D,disk_usage,30.41,%,否
2024-01-01 02:00:00,server_D,network_io,29.62,MB/s,否
2024-01-01 02:00:00,server_D,response_time,43.78,ms,否
2024-01-01 02:00:00,server_E,cpu_usage,45.42,%,否
2024-01-01 02:00:00,server_E,memory_usage,76.89,%,否
2024-01-01 02:00:00,server_E,disk_usage,47.26,%,否
2024-01-01 02:00:00,server_E,network_io,62.68,MB/s,否
2024-01-01 02:00:00,server_E,response_time,35.48,ms,否
2024-01-01 02:00:00,server_F,cpu_usage,54.32,%,否
2024-01-01 02:00:00,server_F,memory_usage,38.36,%,否
2024-01-01 02:00:00,server_F,disk_usage,33.64,%,否
2024-01-01 02:00:00,server_F,network_io,75.89,MB/s,否
2024-01-01 02:00:00,server_F,response_time,36.31,ms,否
2024-01-01 02:00:00,server_G,cpu_usage,25.52,%,否
2024-01-01 02:00:00,server_G,memory_usage,42.65,%,否
2024-01-01 02:00:00,server_G,disk_usage,77.06,%,否
2024-01-01 02:00:00,server_G,network_io,64.59,MB/s,否
2024-01-01 02:00:00,server_G,response_time,44.02,ms,否
2024-01-01 02:00:00,server_H,cpu_usage,23.36,%,否
2024-01-01 02:00:00,server_H,memory_usage,43.54,%,否
2024-01-01 02:00:00,server_H,disk_usage,69.35,%,否
2024-01-01 02:00:00,server_H,network_io,78.56,MB/s,否
2024-01-01 02:00:00,server_H,response_time,56.31,ms,否
2024-01-01 02:00:00,server_I,cpu_usage,24.63,%,否
2024-01-01 02:00:00,server_I,memory_usage,61.55,%,否
2024-01-01 02:00:00,server_I,disk_usage,48.64,%,否
2024-01-01 02:00:00,server_I,network_io,59.16,MB/s,否
2024-01-01 02:00:00,server_I,response_time,44.31,ms,否
2024-01-01 02:00:00,server_J,cpu_usage,42.83,%,否
2024-01-01 02:00:00,server_J,memory_usage,23.28,%,否
2024-01-01 02:00:00,server_J,disk_usage,42.29,%,否
